Адр,Знчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,Адр,Знчн
1F3,0000,1F3,0000,000,0000,000,0000,0000,004,0100
1F3,0000,1F4,0000,1F3,0000,000,01F3,0000,004,0100
1F4,05A1,1F5,05A1,1F4,05A1,000,01F4,0000,004,0100
1F5,CE00,1F6,CE00,1F5,01F6,000,0000,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
1F7,2F40,1F8,2F40,1F7,0040,000,0040,0000,004,0100
1F8,F0FD,1F6,F0FD,1F8,F0FD,000,FFFD,0000,004,0100
1F6,1203,1F7,1203,1F6,1203,000,01F6,0000,004,0100
